shop_name,goods_name,loc,prices,sum_body
法兰释企业店铺,ysl圣罗兰唇釉416小金条口红21圆管80小银条107正品大牌礼盒套装,上海,129.8,3227.0
dior迪奥官方旗舰店,【官方正品】全新Dior迪奥烈艳蓝金唇膏口红 新色丝绒999720,上海,350.0,35000.0
tomford汤姆福特旗舰店,【官方正品】TOM FORD唇膏 TF口红 黑管 16 80 奶油 哑光唇膏,上海,450.0,5000.0
perfectdiary旗舰店,完美日记小细跟口红皮箱礼盒INTO1-刘宇同款哑光唇膏持久显白,广东 ,659.0,3760.0
site旗舰店,SIT.E 镜头系列双头柔雾唇釉粉 柔雾丝绒雾面哑光复古不掉色,上海,230.0,4280.0
catking_blush,dior迪奥口红999哑光740官方旗舰店888专柜正品套装520礼盒装唇膏,福建 ,258.0,1414.0
xfscctv,Dior迪奥口红情人节礼物盒999滋润哑光丝绒七夕套装大牌官方正品,广东 ,198.0,1567.0
衣歌云衫t,兰蔻口红888小野莓粉金管196 274 525 278胡萝卜色菁纯唇膏礼盒装,上海,138.0,1942.0
gucci古驰美妆官方旗舰店,【官方正品】GUCCI古驰倾色绒雾唇膏 金管哑光口红#25 #505 #208,江苏 ,350.0,5000.0
小郭1806,ysl1966口红方管哑光唇膏圣罗兰银管星辰限定143#144#146礼盒装,上海,138.0,2697.0
lancome兰蔻官方旗舰店,【新品】兰蔻小蛮腰菁纯柔雾染唇液 哑光唇釉唇膏口红 #288小奶猫,江苏 ,300.0,10000.0
lancome兰蔻官方旗舰店,兰蔻菁纯丝绒雾面哑光唇膏口红196胡萝卜色,江苏 ,285.0,30000.0
chanel香奈儿官方旗舰店,【官方正品】CHANEL香奈儿可可小姐炫光唇膏 coco滋润92 70,浙江 ,340.0,
chanel香奈儿官方旗舰店,【官方正品】CHANEL 香奈儿炫亮魅力柔雾唇膏 哑光132 136,浙江 ,340.0,
dior迪奥官方旗舰店,【官方正品】Dior迪奥烈艳蓝金唇膏口红 传奇红唇999丝绒新色720,上海,350.0,3358.0
dior迪奥官方旗舰店,【官方正品】Dior迪奥烈艳蓝金锁色唇釉999 626轻盈持妆,上海,350.0,3244.0
perfectdiary旗舰店,完美日记小细跟口红礼盒3支装周迅同款哑光丝绒唇膏显白唇釉,广东 ,249.9,25000.0
perfectdiary旗舰店,完美日记名片唇釉女丝绒口红雾面哑光新色唇彩唇蜜持久显白学生,广东 ,69.9,250000.0
天猫国际进口超市,Lancome/兰蔻法国口红菁纯哑光唇膏196胡萝卜色505苹果红润唇膏,浙江 ,229.0,1990.0
ysl圣罗兰美妆官方旗舰店,【直播专属】YSL小金条细管口红哑光新色1966复古红21 z,江苏 ,350.0,10000.0
3ce官方旗舰店,【官方正品】3CE三熹玉柔雾哑光透明口红 SPEAKTOME豆沙雾面,江苏 ,125.0,15000.0
3ce官方旗舰店,【官方正品】3CE丝绒唇釉慕斯唇釉 柔焦雾面哑光唇釉唇泥ins,江苏 ,110.0,80000.0
givenchy纪梵希官方旗舰店,【官方正品】GIVENCHY纪梵希小羊皮口红半哑光唇膏333 306正品,上海,360.0,5500.0
花西子旗舰店,花西子鲜花口红/女学生款雾面哑光保湿滋润唇膏奶茶豆沙烂番茄色,浙江 ,89.0,10000.0
tomford汤姆福特旗舰店,【官方正品】TOM FORD唇膏 TF口红 黑管 16 80 奶油 哑光唇膏,上海,450.0,5000.0
阿玛尼美妆官方旗舰店,Armani/阿玛尼红管唇釉丝绒哑光口红大牌烂番茄405/206/208,江苏 ,310.0,55000.0
colorkey旗舰店,【热巴同款】colorkey珂拉琪空气唇釉丝绒哑光雾面唇彩显白,广东 ,69.0,550000.0
ysl圣罗兰美妆官方旗舰店,正品 YSL圣罗兰方管口红滋润1966红棕色157赤豆沙1正红色缎光持久,江苏 ,335.0,2359.0
花西子旗舰店,花西子雕花口红/浮雕唇膏女半哑光正红烂番茄色中国风杜鹃定制款,浙江 ,129.0,40000.0
阿玛尼美妆官方旗舰店,Armani/阿玛尼红黑管挚爱哑光唇膏口红大牌正品旗舰店405/406,江苏 ,350.0,10000.0
tomford汤姆福特旗舰店,【INTO1-赞多同款】TOM FORD方管唇釉 TF口红03 16 69 tf唇釉,上海,450.0,10000.0
天猫国际进口超市,【国内专柜】兰蔻菁纯哑光唇膏888小野莓口红 丝绒润正品新年雾面,浙江 ,269.0,2578.0
sephora丝芙兰官方旗舰店,Givenchy/纪梵希高定香榭红丝绒唇膏女N37口红滋润持久进口正品,上海,360.0,1357.0
colorkey旗舰店,【热巴同款】colorkey珂拉琪黑缎唇釉哑光雾面口红唇彩持久滋润,广东 ,79.0,45000.0
卡姿兰官方旗舰店,[INTO1-林墨专属]卡姿兰甜吻果冻唇釉镜面水光雾面哑光唇彩女,广东 ,89.0,20000.0
关广明2464,Chanel香奈儿口红哑光58丝绒coco116炫亮唇膏山茶花正品57#礼盒装,天津,228.0,3181.0
weeyee88,tf口红16号色黑管哑光唇膏80#15#100#08白细管03限量银管07礼盒装,上海,226.0,2330.0
weeyee88,正品Dior迪奥口红999#888哑光滋润烈焰蓝金唇膏520#080#772礼盒装,上海,138.0,2017.0
小满嫂,Dior迪奥口红哑光999滋润080大牌正品888丝绒专柜礼盒套装772唇膏,广东 ,128.0,3823.0
葱花烫发,Dior迪奥口红999哑光滋润正红888/080唇膏专柜大牌正品礼盒装送礼,广东 ,109.0,8000.0
我的店铺7788,雅诗兰黛333口红大牌正品420豆沙色枫叶红304 305 557官方旗舰店,广东 ,245.0,1935.0
我的店铺7788,兰蔻196口红七夕限定礼盒505 888大牌正品274唇釉288官方旗舰店,广东 ,199.0,2411.0
mac魅可官方旗舰店,【官方正品】MAC/魅可丘比特唇釉口红哑光显白唇蜜唇彩487/481,浙江 ,210.0,8500.0
mac魅可官方旗舰店,【官方正品】MAC/魅可柔雾唇釉哑光口红唇彩唇膏女991/982/997,浙江 ,210.0,7000.0
joocyee旗舰店,Joocyee酵色贝壳镜面水光唇釉口红唇蜜玻璃唇彩学生女夏平价豆沙,上海,79.0,100000.0
dior迪奥官方旗舰店,【官方正品】全新Dior迪奥烈艳蓝金唇膏口红 新色丝绒999720,上海,350.0,35000.0
佰鲜集旗舰店,变色口红女保湿滋润唇膏补水不掉色不沾杯不脱色防水胡萝卜素樱桃,广东 ,29.9,15000.0
perfectdiary旗舰店,完美日记小细跟口红礼盒3支装周迅同款哑光丝绒唇膏显白唇釉,广东 ,249.9,25000.0
px_tiantian,Dior迪奥口红999哑光正红色新款丝绒840滋润888唇膏大牌正品礼盒,广东 ,115.0,9000.0
px_tiantian,兰蔻口红黑管196胡萝卜色朱砂橘哑光粉金管888唇膏大牌正品礼盒装,广东 ,128.0,3670.0
lailyuei,Dior迪奥口红999哑光滋润520 740经典正红888送礼盒套装大牌正品,广东 ,348.0,1919.0
